index,CAMIS,DBA,PHONE,loc,INSPECTION DATE,GRADE,new_grade,yelp_rating,yelp_categories,yelp_review_count,goog_lat,goog_lng
0,50063325,PARIS BAGUETTE,2016865943,"575 8TH AVE, MANHATTAN, 10018",1900-01-01,,,,,,40.75505220000001,-73.99183149999999
1,50063312,TAPA,7187374237,"102 LEXINGTON AVE, MANHATTAN, 10016",1900-01-01,,,,,,40.7421744,-73.982807
2,50063305,LUANNE'S WILD GINGER,7186268663,"676 FRANKLIN AVE, BROOKLYN, 11238",1900-01-01,,,,,,40.675388,-73.956502
3,50063296,MARCO'S,2159324545,"1071 BROADWAY, BROOKLYN, 11221",1900-01-01,,,,,,40.694595899999996,-73.93107479999998
4,50063282,BOND 45 ITALIAN KITCHEN AND BAR,2123999547,"221 W 46TH ST, MANHATTAN, 10036",1900-01-01,,,3.5,[u'italian'],390.0,40.759237799999994,-73.9862397
5,50063280,ENZO'S OF ARTHUR AVE,7187334455,"2339 ARTHUR AVE, BRONX, 10458",1900-01-01,,,3.5,[u'italian'],119.0,40.85436720000001,-73.8887814
6,50063276,CEYLON RESTAURANT AND PUB,9175624731,"226 BAY ST, STATEN ISLAND, 10301",1900-01-01,,,,,,40.6365615,-74.0761839
7,50063274,THE GENTRY,9172721053,"592 MANHATTAN AVE, BROOKLYN, 11222",1900-01-01,,,4.5,[u'french'],9.0,40.722977,-73.95034629999998
8,50063273,MAD DOG & BEANS MEXICAN CANTINA,9176912141,"5 E 38TH ST, MANHATTAN, 10016",1900-01-01,,,,,,40.7506778,-73.9820491
9,50063271,TABOULEH,2122036161,"673 9TH AVE, MANHATTAN, 10036",1900-01-01,,,,,,40.7613639,-73.99079590000001
10,50063237,DUE FRATELLI PIZZERIA RESTAURANT,5165034726,"7623 37TH AVE, QUEENS, 11372",1900-01-01,,,2.5,"[u'pizza', u'italian']",99.0,40.7493859,-73.8891931
11,50063226,DAMORE WINEBAR & RISTORANTE,3476534878,"118 E 116TH ST, MANHATTAN, 10029",1900-01-01,,,4.5,"[u'wine_bars', u'italian']",167.0,40.7989072,-73.9422739
12,50063209,ICON,7326701252,"3184 33RD ST, QUEENS, 11106",1900-01-01,,,3.5,"[u'gaybars', u'danceclubs']",35.0,40.761604999999996,-73.9237689
13,50063201,KUBEH,5166727846,"464 AVENUE OF THE AMERICAS, MANHATTAN, 10011",1900-01-01,,,,,,40.7353815,-73.9979354
14,50063197,JUICE GENERATION,6463675762,"1407 BROADWAY, MANHATTAN, 10018",1900-01-01,,,4.0,[u'juicebars'],22.0,40.753394799999995,-73.987597
15,50063195,JOE COFFEE COMPANY,2129247400,"55 W 40TH ST, MANHATTAN, 10018",1900-01-01,,,4.0,[u'coffee'],156.0,40.75347259999999,-73.9848138
16,50063189,DENNY'S,9177971502,"4730 AMBOY RD, STATEN ISLAND, 10312",1900-01-01,,,,,,40.539757,-74.169635
17,50063187,BOSTON MARKET CORPORATION,3032789500,"29 HUGH J GRANT CIR, BRONX, 10462",1900-01-01,,,,,,40.8338023,-73.86119219999998
18,50063184,LA SONRISA EMPANADAS,9179411064,"42 BROADWAY, MANHATTAN, 10004",1900-01-01,,,,,,40.7059797,-74.01260289999998
19,50063183,SIENA CAFE,,"1580 3RD AVE, MANHATTAN, 10128",1900-01-01,,,,,,40.7805914,-73.9526808
20,50063178,FALK A LANGNER CATERING & EVENTS NYC,9294441523,"42 BROADWAY, MANHATTAN, 10004",1900-01-01,,,,,,40.7059797,-74.01260289999998
21,50063170,MADE NICE,212881677,"8 W 28TH ST, MANHATTAN, 10001",1900-01-01,,,,,,40.74480399999999,-73.9881939
22,50063165,JAMES PERSE ENTERPRISES,2126209991,"368 BLEECKER ST, MANHATTAN, 10014",1900-01-01,,,,,,40.7347518,-74.00480569999998
23,50063164,JAMES PERSE ENTERPRISES,9172677264,"1128 MADISON AVE, MANHATTAN, 10028",1900-01-01,,,,,,40.7795016,-73.9600105
24,50063161,BEYOND SUSHI,6467722425,"134 W 37TH ST, MANHATTAN, 10018",1900-01-01,,,,,,40.752554700000005,-73.9884245
25,50063160,KISS MY SLICE PIZZA,9178077348,"401 E 57TH ST, MANHATTAN, 10022",1900-01-01,,,,,,40.7582341,-73.9627436
26,50063159,BROOKLYN BURGERS & BEERS,7189308679,"259 5TH AVE, BROOKLYN, 11215",1900-01-01,,,4.0,"[u'gastropubs', u'burgers', u'beer_and_wine']",184.0,40.6745065,-73.9818547
27,50063156,TWIN DONUT/BLIMPIES,7189937050,"196 E 161ST ST, BRONX, 10451",2017-04-13,Not Yet Graded,C,,,,40.826254,-73.92142199999998
28,50063152,TSQ FOOD COURT,2129330966,"163 W 48TH ST, MANHATTAN, 10036",1900-01-01,,,5.0,[u'delis'],2.0,40.759623299999994,-73.98367859999998
29,50063149,UNCLE LOUIE G,9178267634,"1448 HYLAN BLVD, STATEN ISLAND, 10305",1900-01-01,,,2.5,[u'icecream'],3.0,40.593077799999996,-74.0869749
30,50063143,PRINCESA BAKERY & RESTAURANT,7187823822,"94 GRAHAM AVE, BROOKLYN, 11206",1900-01-01,,,3.0,[u'bakeries'],33.0,40.704319500000004,-73.942708
31,50063142,COLUMBUS BAGEL CAFE,2128772222,"472 COLUMBUS AVE, MANHATTAN, 10024",1900-01-01,,,3.5,"[u'bagels', u'delis']",29.0,40.784479600000004,-73.9740551
32,50063138,CROWN FRIED CHICKEN,7186245325,"822 MYRTLE AVE, BROOKLYN, 11206",1900-01-01,,,4.0,[u'hotdogs'],20.0,40.695144,-73.94941700000001
33,50063130,ZEFF'S PIZZERIA,7185990545,"312 S 3RD ST, BROOKLYN, 11211",1900-01-01,,,3.5,[u'pizza'],10.0,40.7097051,-73.95483370000001
34,50063129,PUBLIC NEW YORK,2127356000,"215 CHRYSTIE ST, MANHATTAN, 10002",1900-01-01,,,4.0,"[u'tradamerican', u'australian']",1022.0,40.7226167,-73.9915493
35,50063127,PUBLIC NEW YORK,2127356000,"215 CHRYSTIE ST, MANHATTAN, 10002",1900-01-01,,,4.0,"[u'tradamerican', u'australian']",1022.0,40.7226167,-73.9915493
36,50063125,PUBLIC NEW YORK,2127356000,"215 CHRYSTIE ST, MANHATTAN, 10002",1900-01-01,,,4.0,"[u'tradamerican', u'australian']",1022.0,40.7226167,-73.9915493
37,50063123,PUBLIC NEW YORK,2127356000,"215 CHRYSTIE ST, MANHATTAN, 10002",1900-01-01,,,4.0,"[u'tradamerican', u'australian']",1022.0,40.7226167,-73.9915493
38,50063119,PUBLIC NEW YORK,2127356000,"215 CHRYSTIE ST, MANHATTAN, 10002",1900-01-01,,,4.0,"[u'tradamerican', u'australian']",1022.0,40.7226167,-73.9915493
39,50063114,PUBLIC NEW YORK,2127356000,"215 CHRYSTIE ST, MANHATTAN, 10002",1900-01-01,,,4.0,"[u'tradamerican', u'australian']",1022.0,40.7226167,-73.9915493
40,50063108,CREPES DU NORD,5162860203,"2655 RICHMOND AVE, STATEN ISLAND, 10314",1900-01-01,,,3.0,[u'creperies'],15.0,40.582418,-74.1659155
41,50063097,SAL ANTHONY'S RESTAURANT,2129829030,"226 3RD AVE, MANHATTAN, 10003",1900-01-01,,,2.0,[u'raw_food'],6.0,40.736601,-73.985084
42,50063092,TRACY ANDERSON METHOD,6469322827,"239 E 39TH ST, MANHATTAN, 10016",1900-01-01,,,,,,40.748437,-73.974238
43,50063089,STAGE 4,2016552136,"23 W 32ND ST, MANHATTAN, 10001",1900-01-01,,,4.0,"[u'karaoke', u'lounges', u'venues']",56.0,40.747704600000006,-73.98678009999998
44,50063075,METLUFE EXECUTIVE DINING ROOM,7043284036,"200 PARK AVE, MANHATTAN, 10166",1900-01-01,,,,,,40.7534339,-73.9766921
45,50063073,STAGE03,2016552136,"23 W 32ND ST, MANHATTAN, 10001",1900-01-01,,,,,,40.747704600000006,-73.98678009999998
46,50063067,TACOS GRAND CENTRAL,9176886306,"711 2ND AVE, MANHATTAN, 10016",1900-01-01,,,4.0,[u'mexican'],140.0,40.7474871,-73.9739345
47,50063056,WON Y CHUNG,2016388280,"4805 GRAND AVE, QUEENS, 11378",1900-01-01,,,,,,40.71742570000001,-73.9202355
48,50063054,ARTICHOKE BASILLE'S PIZZA,6462691000,"148 N 7TH ST, BROOKLYN, 11249",1900-01-01,,,4.0,[u'pizza'],284.0,40.7182491,-73.9583832
49,50063020,LITTLE ITALY PIZZA,2125947817,"688 6TH AVE, MANHATTAN, 10010",1900-01-01,,,5.0,[u'pizza'],1.0,40.742096000000004,-73.99338689999998
