,CAMIS,DBA,loc,goog_lat,goog_lng
0,50063325,PARIS BAGUETTE,"575 8TH AVE, MANHATTAN, 10018",40.7550522,-73.9918315
1,50061140,TURNTABLE CHICKEN JAZZ,"20 W 33RD ST, MANHATTAN, 10001",40.7481888,-73.9863847
2,50060162,JANE,"515 ATLANTIC AVE, BROOKLYN, 11217",40.6852648,-73.9805489
3,50059345,WIN XIN RESTAURANT,"6001 14TH AVE, BROOKLYN, 11219",40.6272984,-73.9963219
4,50058634,LA FLOR DEL CANARIO #2 RESTAURANT PIZZERIA,"2225 PITKIN AVE, BROOKLYN, 11207",40.6727287,-73.8902121
5,50057842,DUNKIN DONUTS,"925 HUNTS POINT AVE, BRONX, 10459",40.820303,-73.891367
6,50057021,PATISSERIE FLORENTINE,"280 E 10TH ST, MANHATTAN, 10009",40.7279891,-73.9830517
7,50056178,MILK BAR NOLITA,"246 MOTT ST, MANHATTAN, 10012",40.7232848,-73.9946633
8,50055078,DOS TOROS,"119 W 40TH ST, MANHATTAN, 10018",40.7540476,-73.9861799
9,50053936,TASTE NY BISTRO,"655 W 34TH ST, MANHATTAN, 10001",40.7570237,-74.0019699
10,50052906,LITTLE CAESARE,"65 WESTCHESTER SQ, BRONX, 10461",40.8414101,-73.8428248
11,50051778,PRONTITO,"4025 FORLEY ST, QUEENS, 11373",40.747748,-73.880371
12,50050704,99 Cent Tasty Pizza 6 Ave Inc.,"388 AVE OF THE AMERICAS, MANHATTAN, 10011",40.7332374,-73.9998523
13,50049511,DON PATRON BAR & GRILL,"1217 CHURCH AVE, BROOKLYN, 11218",40.6475674,-73.9678558
14,50048295,DUNKIN DONUTS & BASKIN ROBBINS,"1993 ATLANTIC AVE, BROOKLYN, 11233",40.6770127,-73.9161079
15,50047316,LENWICH,"66 W 9TH ST, MANHATTAN, 10011",40.7339373,-73.9988916
16,50046427,2 BROS PIZZA,"755 6TH AVE, MANHATTAN, 10010",40.744382,-73.992049
17,50045661,CHUBBY BURGER CHICKEN & PIZZA,"2962 FULTON ST, BROOKLYN, 11208",40.6797017,-73.8854551
18,50044956,BARRY'S BOOTCAMP,"1216 2ND AVE, MANHATTAN, 10065",40.7635663,-73.962184
19,50044346,NARE SUSHI,"115 E 57TH ST, MANHATTAN, 10022",40.7614086,-73.9700033
20,50043640,JEF CHINESE,"913 2ND AVE, MANHATTAN, 10017",40.7540244,-73.9694715
21,50042598,SAFFRON GARDEN,"4611 SKILLMAN AVE, QUEENS, 11104",40.7466788,-73.9176936
22,50041084,LULO SEAFOOD,"104 E 183RD ST, BRONX, 10453",40.8578879,-73.9017485
23,50039432,BANK OF AMERICA CONFERENCE CENTER,"250 VESEY ST, MANHATTAN, 10281",40.714167,-74.016111
24,50038024,O MACDONOUGH,"83 SARATOGA AVE, BROOKLYN, 11233",40.683924,-73.917108
25,50036776,SUBWAY,"2527B PARSONS BLVD, QUEENS, 11354",40.7759807,-73.8235657
26,50035528,LINDEN FRIED CHICKEN,"2602 LINDEN BLVD, BROOKLYN, 11208",40.6683606,-73.8685296
27,50034234,LATENS RESTAURANT,"11908 MERRICK BLVD, QUEENS, 11434",40.6855336,-73.7728615
28,50033183,GEISHA SUSHI,"3470 BROADWAY, MANHATTAN, 10031",40.8241933,-73.9519651
29,50019055,C & B,"178 E 7TH ST, MANHATTAN, 10009",40.7250553,-73.9816865
30,50018143,ATWOOD KITCHEN & BAR,"986 2ND AVE, MANHATTAN, 10022",40.7562793,-73.9675115
31,50017241,6B,"60 E 42ND ST, MANHATTAN, 10165",40.7521236,-73.9787747
32,50016270,BILLY'S PIZZA & PASTA,"853 CASTLETON AVE, STATEN ISLAND, 10310",40.6349044,-74.1108052
33,50015174,FROZEN PEAKS,"200 BAYCHESTER AVE, BRONX, 10475",40.8636318,-73.8274021
34,50013883,NEW YORK SHAKE & BURGER,"14701 LIBERTY AVE, QUEENS, 11435",40.6963767,-73.8043189
35,50012215,SKY CAFE,"8620 WHITNEY AVE, QUEENS, 11373",40.7418995,-73.8784143
36,50010848,PIZZA ITALIA,"307 W 17TH ST, MANHATTAN, 10011",40.7419616,-74.0014595
37,50009407,VANGUARD WINE BAR,"189 AMSTERDAM AVE, MANHATTAN, 10023",40.7763129,-73.9830566
38,50008025,THE ONE,"13772 NORTHERN BLVD, QUEENS, 11354",40.7635219,-73.8283762
39,50006286,CIBAO,"172 SMITH ST, BROOKLYN, 11201",40.6857925,-73.9910989
40,50005189,CONVENE,"101 PARK AVE, MANHATTAN, 10178",40.7511014,-73.978283
41,50004130,AVENUE P APPETIZER,"466 AVENUE P, BROOKLYN, 11223",40.6089002,-73.9702159
42,50002717,US FRIED CHICKEN,"1453 E NEW YORK AVE, BROOKLYN, 11212",40.6709855,-73.9138404
43,50002062,K & L RESTAURANT AND CATERING SERVICE,"3204 3RD AVENUE, BRONX, 10451",40.8227959,-73.90903
44,50001438,INSOMNIA COOKIES,"1030 AMSTERDAM AVE, MANHATTAN, 10025",40.8036283,-73.9637801
45,50000795,RISOTTERIA MELOTTI,"309 EAST 5 STREET, MANHATTAN, 10003",40.7265662,-73.9884277
46,50000068,LADY M BRYANT PARK,"36 W 40TH ST, MANHATTAN, 10018",40.7527864,-73.9836149
47,41716092,DOMINO'S,"3624 BROADWAY, MANHATTAN, 10031",40.8289435,-73.9481264
